"","Sample_ID","Age"
"1",100003,6.6
"2",100004,3.1
"3",100005,1.8
"4",100006,0.9
"5",100007,2
"6",100008,4.7
"7",100009,3.8
"8",100010,3.9
"9",100011,1.9
"10",100012,10.6
"11",100013,1.4
"12",100014,1.6
"13",100015,6
"14",100016,1.4
"15",100017,2.3
"16",100018,8
"17",100019,13.8
"18",100020,2.3
"19",100021,5.8
"20",100022,5.7
"21",100023,7.6
"22",100024,12.7
"23",100025,5.5
"24",100026,1
"25",100027,6
"26",100028,7.4
"27",100029,9.8
"28",100030,9.8
"29",100031,2.8
"30",100032,7.3
"31",100033,1.6
"32",100034,2.2
"33",100035,0.9
"34",100036,0.8
"35",100037,7
"36",100038,5.6
"37",100039,0.9
"38",100040,5.3
"39",100041,6.3
"40",100043,15
"41",100046,10.1
"42",100047,2
"43",100048,11.4
"44",100049,9.9
"45",100050,10.1
"46",100051,1.9
"47",100052,6.9
"48",100054,3.2
"49",100055,7.5
"50",100057,7.6
"51",100058,14.1
"52",100059,11
"53",100060,6.9
"54",100061,1.5
"55",100062,1.9
"56",100063,1.7
"57",100064,1.8
"58",100065,13.4
"59",100066,6.5
"60",100067,2.8
"61",100068,8.8
"62",100069,7.1
"63",100070,4.2
"64",100071,9.4
"65",100072,3.1
"66",100073,7.6
"67",100074,13.2
"68",100075,12.9
"69",100076,2.8
"70",100077,1.4
"71",100078,6.7
"72",100079,6.7
"73",100080,13.2
"74",100081,12.6
"75",100082,8.4
"76",100083,13.8
"77",100084,15
"78",100085,15.8
"79",100086,12.3
"80",100087,12.6
"81",100088,11.8
"82",100089,10.4
"83",100090,4.7
"84",100091,11
"85",100092,8.2
"86",100093,14.4
"87",100094,9.1
"88",100095,8.5
"89",100096,9.7
"90",100097,7.9
"91",100098,11.2
"92",100099,11.9
"93",100100,10.8
"94",100101,4.5
"95",100102,5.5
"96",100103,13.9
"97",100104,14.9
"98",100105,7.9
"99",100106,12.8
"100",100107,15.7
"101",100108,5.3
"102",100109,8.9
"103",100110,13.8
"104",100111,8.9
"105",100112,5.9
"106",100113,8.9
"107",100114,11.5
"108",100115,12.7
"109",100116,3.3
"110",100117,4.5
"111",100118,9.3
"112",100119,10
"113",100120,5.7
"114",100121,11.2
"115",100122,10.2
"116",100123,8
"117",100124,9
"118",100125,10.7
"119",100126,10.7
"120",100127,5.7
"121",100128,5.4
"122",100129,4.1
"123",100130,5.4
"124",100131,8.5
"125",100132,8.7
"126",100133,12.1
"127",100134,9.5
"128",100135,7
"129",100136,14.7
"130",100137,11.3
"131",100138,3.2
"132",100139,3.4
"133",100140,12.8
"134",100141,4.6
"135",100142,9
"136",100143,4.1
"137",100144,13.1
"138",100145,9.7
"139",100146,5.3
"140",100147,10.2
"141",100148,10.4
"142",100149,6
"143",100150,8.7
"144",100151,6.4
"145",100152,7.2
"146",100153,4.7
"147",100154,9.7
"148",100155,1.8
"149",100156,11.8
"150",100157,9.5
"151",100158,15.9
"152",100159,1.3
"153",100160,6.6
"154",100161,5
"155",100162,7.5
"156",100163,13.8
"157",100164,7.7
"158",100165,4.3
"159",100166,2.3
"160",100167,6.1
"161",100168,6.4
"162",100169,1.2
"163",100170,4.3
"164",100171,9.5
"165",100172,2.3
"166",100173,0.8
"167",100174,15.3
"168",100175,9.8
"169",100176,3.8
"170",100177,6.4
"171",100178,10.6
"172",100179,13
"173",100180,8.5
"174",100181,11.2
"175",100182,11.8
"176",100183,8.4
"177",100184,2.3
"178",100185,2
"179",100186,9.7
"180",100187,8.2
"181",100188,1.6
"182",100189,12.3
"183",100190,6
"184",100191,11.4
"185",100192,8.1
"186",100193,2.3
"187",100194,4.2
"188",100195,10.8
"189",100196,4.7
"190",100197,11.9
"191",100198,4.6
"192",100199,5.5
"193",100200,10.6
"194",100201,7.2
"195",100202,5.1
"196",100203,6.5
"197",100204,11.3
"198",100205,6
"199",100206,6.7
"200",100207,6
"201",100208,6.9
"202",100209,2
"203",100210,12
"204",100211,2.7
"205",100212,7.9
"206",100213,5.8
"207",100214,8
"208",100215,6.2
"209",100216,15.7
"210",100217,13
"211",100218,9.2
"212",100219,13.2
"213",100220,1.4
"214",100221,2.5
"215",100222,6.2
"216",100223,11.8
"217",100224,10.2
"218",100225,5.1
"219",100226,4.6
"220",100227,11.1
"221",100228,10.1
"222",100229,13.7
"223",100230,7.8
"224",100231,6.1
"225",100232,10.7
"226",100233,6.1
"227",100234,1.5
"228",100235,8.9
"229",100236,11
"230",100237,8.7
"231",100238,10.7
"232",100239,9.8
"233",100240,8.2
"234",100241,14.7
"235",100242,12.3
"236",100243,14.7
"237",100244,4.7
"238",100245,7.6
"239",100246,15
"240",100247,6
"241",100248,8.8
"242",100249,14.1
"243",100250,1.3
"244",100251,10.9
"245",100252,2.4
"246",100253,11.6
"247",100254,1.5
"248",100255,4.3
"249",100256,3.1
"250",100257,6.4
"251",100258,2.4
"252",100259,1.2
"253",100260,1.3
"254",100261,11.3
"255",100262,8.2
"256",100263,10.9
"257",100264,13.6
"258",100265,2.1
"259",100266,12.9
"260",100267,3.8
"261",100268,12.9
"262",100269,10.9
"263",100270,1.3
"264",100271,16
"265",100272,4
"266",100273,11.3
"267",100274,2.4
"268",100275,7
"269",100276,13.9
"270",100277,2.2
"271",100278,14.8
"272",100279,12.4
"273",100280,2.7
"274",100281,2.4
"275",100282,11.8
"276",100283,9.1
"277",100284,3.3
"278",100285,11.3
"279",100286,10.3
"280",100287,11.5
"281",100288,2.9
"282",100289,13.8
"283",100290,5.1
"284",100291,12.9
"285",100292,11.3
"286",100293,5.2
"287",100294,1.4
"288",100295,5.1
"289",100296,6
"290",100297,1.1
"291",100298,1.3
"292",100299,8.4
"293",100300,12.1
"294",100301,6.6
"295",100302,12.8
"296",100303,13.5
"297",100304,6.2
"298",100305,3.2
"299",100306,8.9
"300",100307,11.6
"301",100308,3.5
"302",100309,9.8
"303",100310,7.1
"304",100311,11.9
