"measure","location","sex","age","cause","metric","year","val","upper","lower"
"Deaths","Central Asia","Male","<5 years","Enteric infections","Percent",1991,0.118192301133182,0.129772844690379,0.106313967010059
"Deaths","Central Asia","Female","<5 years","Enteric infections","Percent",1991,0.125188286804287,0.139313004715034,0.112775439110865
"Deaths","Central Asia","Both","<5 years","Enteric infections","Percent",1991,0.121258399039795,0.131113313815194,0.111792418530944
"Deaths","Central Asia","Male","5-9 years","Enteric infections","Percent",1991,0.019417584989021,0.0240111390061678,0.01429881572451
"Deaths","Central Asia","Female","5-9 years","Enteric infections","Percent",1991,0.0256620872960511,0.0365086453584394,0.0190246095537296
"Deaths","Central Asia","Both","5-9 years","Enteric infections","Percent",1991,0.0218969874206969,0.0269342526336862,0.0176126082607563
"Deaths","Central Asia","Male","10-14 years","Enteric infections","Percent",1991,0.0123882263021879,0.015458377408749,0.00982897061112496
"Deaths","Central Asia","Female","10-14 years","Enteric infections","Percent",1991,0.0179114298867203,0.0247845179328779,0.0134352709688819
"Deaths","Central Asia","Both","10-14 years","Enteric infections","Percent",1991,0.0144429514482881,0.0176634350222268,0.0119766162788513
"Deaths","Central Asia","Male","15-19 years","Enteric infections","Percent",1991,0.00352449246931803,0.00447180845850462,0.00275294777253526
"Deaths","Central Asia","Female","15-19 years","Enteric infections","Percent",1991,0.00583873913169867,0.00833910623296152,0.00435702234469874
"Deaths","Central Asia","Both","15-19 years","Enteric infections","Percent",1991,0.00432336020130798,0.0054497951498878,0.00352100850991392
"Deaths","Central Asia","Male","20-24 years","Enteric infections","Percent",1991,0.00266834763221148,0.00324334691061045,0.00214327445257035
"Deaths","Central Asia","Female","20-24 years","Enteric infections","Percent",1991,0.00575661531710359,0.00826252983501164,0.00428329790464623
"Deaths","Central Asia","Both","20-24 years","Enteric infections","Percent",1991,0.00371935839079341,0.00470225218867171,0.00302315550250623
"Deaths","South Asia","Male","<5 years","Enteric infections","Percent",1991,0.121801470708503,0.147104524686087,0.0993657554700085
"Deaths","South Asia","Female","<5 years","Enteric infections","Percent",1991,0.154319586841031,0.198673850054742,0.114361161132639
"Deaths","South Asia","Both","<5 years","Enteric infections","Percent",1991,0.137858210228777,0.164721795795193,0.110382440008286
